topic,keyword,sentiment_neg,sentiment_neu,sentiment_pos
affiliation,นายก,1,0,0
affiliation,สลิ่ม,2,1,0
affiliation,ประยุทธ์,1,0,0
campaign,พื้นที่สำคัญ,0,0,1
campaign,ป้ายหาเสียง,1,0,1
campaign,เปลี่ยนป้าย,0,0,2
campaign,ป้ายหาเสียงใหญ่,1,0,0
campaign,ลงพื้นที่,0,0,1
campaign,ตุ้บ,1,0,0
campaign,อ้อน,0,1,0
campaign,คลิปเข็นวีลแชร์,1,0,0
campaign,คน ลุย เมือง,0,0,1
campaign,คนลุยเมือง,0,0,1
competency,มรดกบาป,3,0,0
competency,สวนสาธารณะ,0,0,1
competency,city run,0,0,1
competency,สวนฝนเบญจกิติ,0,0,1
competency,คลองโอ่งอ่าง,0,0,1
competency,พื้นที่สีเขียว,0,0,1
competency,ขวางทางเท้า,1,0,0
competency,น้ำท่วม,0,0,1
competency,คลองช่องนนทรี,2,0,0
competency,กระจุกงบพัฒนา,1,0,0
competency,ทำเยอะมาก,0,0,1
competency,แต่งตั้ง,1,0,0
competency,บัตรแมงมุม,1,0,0
competency,ไม่รู้ว่าทำ,1,0,0
competency,ไม่เคยพูด,1,0,0
competency,สื่อสาร,1,0,0
competency,ไม่เคยทำอะไร,1,0,0
competency,มุสลิม,1,0,0
competency,กรุงเทพที่เปลี่ยนไป,0,0,1
competency,ขุดลอกคลองพังพวย,1,0,0
competency,มีประสบการณ์,1,0,0
competency,บริหารงานเก่ง,1,0,0
competency,ขายความเก่า,1,0,0
competency,ผลงาน,0,0,1
competency,มิสแกรนด์,4,0,0
competency,สะพานรักษ์,0,0,1
competency,ลอกคลอง,0,0,1
competency,ผลงานโดดเด่น,0,0,1
competency,ฟาวิพิราเวียร์,1,0,0
policy,ของเก่า,1,0,0
policy,ไม่เอาอนาคต,1,0,0
policy,หาบเร่,0,0,2
policy,แผงลอย,0,0,2
policy,เท่าเทียม,1,0,0
policy,ดูแลประชาชน,1,0,0
policy,ทั่วถึง,1,0,0
policy,สานงานเดิม,0,0,1
policy,ปลอดภัย,0,0,1
policy,กินอิ่ม,0,0,1
policy,คุณภาพชีวิต,0,0,1
policy,แก้น้ำท่วม,0,0,1
policy,ชีวิตดีขึ้น,0,0,1
policy,น้ำใส,0,0,1
policy,ไร้ขยะ,0,0,1
policy,ล้อ ราง เรือ,0,0,1
public-sentiment,อีอัศวิน,1,0,0
public-sentiment,อย่าเสียงแตก,0,0,1
public-sentiment,ทวงคืน,1,0,0
public-sentiment,ชาวเน็ตแซว,1,0,0
public-sentiment,พีคสัส,1,0,0
public-sentiment,เมษาหน้าหนาว,1,0,0
public-sentiment,การตามหาความฝัน,1,0,0
public-sentiment,กาเปลี่ยนกรุง,1,0,0
public-sentiment,ซ้ำรอย,1,0,0
public-sentiment,แบทแมน,1,0,0
public-sentiment,การยอมรับ,1,0,0
public-sentiment,ไม่ทำห่า,1,0,0
public-sentiment,อยู่แบบเดิม,1,0,0
public-sentiment,กันเทคะแนนจัดตั้ง,0,0,1
public-sentiment,แซง,0,0,1
public-sentiment,อันดับ2,1,0,0
public-sentiment,ไม่ต้องไปด้วย,1,0,0
public-sentiment,ขอบคุณ,1,0,0
public-sentiment,เลือกอัศวิน,0,0,1
public-sentiment,เลือกเบอร์ 6,0,0,1
public-sentiment,#เบอร์6,0,0,1
public-sentiment,#อัศวินขวัญเมือง,0,0,1
public-sentiment,ส้มหล่น,1,0,0
public-sentiment,#กรุงเทพต้องไปต่อ,0,0,1
public-sentiment,#กรุงเทพฯต้องไปต่อ,0,0,1
public-sentiment,อัศวินเบอร์ 6,0,0,1
quality,คอรัปชั่น,1,0,0
quality,ทำมากกว่าพูด,1,0,0
quality,ไร้ทุจริต,0,0,1
